Id;SplBatch;SplMass;StdC23;Origin;Group;SamplingDate;C14.0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
HF_F04GL10;1;55.2;30;BornW;Wild;02/12/2019;32.48;27.14;9.4;10.63;13.02;88.25;49.57;73.65;52.55;72.42;36.01;17.25;12.81;12.13;39.39;123.03;8.94;22.67;20.68;358.94;186.31;38.96;6.39;20.08;116.34;89.43;19.53;24.75;32.71
HF_F05GL10;1;52.4;30;BornW;Wild;02/12/2019;85.75;66.41;25.22;31.02;34.96;366.42;119.02;207.84;134.66;185.21;104.27;51.98;3.93;26.51;134.71;433.76;25.16;81.56;75.77;1343.54;560.86;79.61;32.13;92.09;474.21;296.89;71.76;75.99;119.68
HF_F10GL10;1;52.4;30;BornW;Wild;02/12/2019;128.6;111.9;41.7;39.3;51.3;278;179;377.4;165.5;322.3;95;108.8;46;42.5;263.8;774.82;55.2;145.4;134.9;2332.6;1177.8;146.8;53.28;177.8;689.8;669.3;141.4;174;273.2
HF_M01GL10;1;46.6;30;BornW;Wild;02/12/2019;31.29;28.17;9.61;9.25;13.25;67.67;42.81;74.73;26.57;68.81;12;19.14;10.33;10.23;44.94;148.64;8.2;24.41;27.33;423.59;194.41;50.21;6.18;24.81;113.28;104;20.11;30.67;36.94
HF_M02GL10;1;52.7;30;BornW;Wild;02/12/2019;158.87;114.02;36.45;40.19;55.33;361.66;250.67;267.41;130.96;247.34;82.57;69.89;4.81;52.38;158.2;422.03;31.42;81.55;84.34;1180.95;763.25;77.8;28.05;78.09;457.74;252.99;81.7;103.05;107.91
HF_M03GL10;1;63;30;BornW;Wild;02/12/2019;99.8;94.1;38.7;31.3;47;266.8;144.4;317.9;102.7;247.5;61.2;88.3;26.3;32.6;236.5;674.12;43.4;124.8;151.2;1849.7;1016;178.1;52.24;170.3;625.1;570.6;135.8;126.2;242.5
HF_M06GL10;1;63.6;30;BornW;Wild;02/12/2019;78.33;57.39;21.05;24.99;26.41;258;87.59;133.5;77.88;125.86;47.08;28.23;27.78;21.39;89.63;188.82;14.38;37.95;32.44;619.76;294.13;69.31;13.06;46.27;103.37;100.29;35.11;49.12;62.01
HF_F04GL11;1;44.9;30;BornW;Wild;22/01/2020;138.27;142.03;62.27;47.99;72.47;283.91;241.86;232.67;126.82;248.22;83.44;60.7;5.73;37.37;156.59;395.46;25.63;72.4;NA;1128.61;620.8;87.77;30.87;85.2;493.18;298.58;78.23;93.11;112.94
HF_M01GL11;1;63.8;30;BornW;Wild;22/01/2020;97.3;120.7;46.8;38.1;80.9;607.3;184;379.8;203.5;350.9;135.8;126.1;49.9;45.3;328.2;1044.24;70.7;186.1;212;3139.2;1750.5;220.4;6.12;200.7;637.1;789.1;212.4;190.4;317.3
HF_M02GL11;1;58;30;BornW;Wild;22/01/2020;61;53.9;21.6;22.7;32.9;247.3;108.5;246.1;124.8;204.8;82.2;74.3;35.3;26.5;189.5;597.67;40.7;107.3;120.5;1716.1;1081.2;109.8;34.73;114.7;598.9;536.3;136.9;112.4;189
HF_M03GL11;1;54.1;30;BornW;Wild;22/01/2020;131.9;109.4;42.7;40.1;58;369.9;186.4;248.5;170;245.6;112.5;64.1;51.3;41;155.8;487.78;36.8;91.1;111.4;1327.1;733.4;97.4;34.72;98.7;641.7;427.1;101.7;102.6;157.5
HF_F01GL12;1;48.6;30;BornW;Wild;16/03/2020;94.8;82;37.9;30.1;42.5;241;148.5;241.7;117.7;190.3;75;64.8;37.9;35.8;158.6;444.16;26.7;80.7;93.6;1168.7;701.7;107.5;38.21;99.3;599;362.7;85.3;86.2;168.8
