Id;SplBatch;Origin;Group;d15N;ConcN;d13C;ConcC
MU_U01_AqB;11;BornCap;BornCap;12.99;14.85;-12.87;50.88
MU_U02_AqB;11;BornCap;BornCap;13.74;2.64;-14.46;10.84
MU_U04_AqB;11;BornCap;BornCap;15.23;3.20;-12.86;12.13
MU_U05_AqB;11;BornCap;BornCap;14.76;5.57;-13.10;20.00
MU_U06_AqB;11;BornCap;BornCap;12.68;4.57;-12.96;16.52
MU_U01_Bre;14;BornCap;BornCap;10.39;3.95;-19.53;17.35
MU_U02_Bre;14;BornCap;BornCap;11.02;20.06;-18.33;72.81
MU_U04_Bre;14;BornCap;BornCap;10.77;6.14;-18.37;22.14
MU_U05_Bre;14;BornCap;BornCap;10.29;4.41;-18.69;16.60
MU_U06_Bre;14;BornCap;BornCap;10.40;6.36;-18.36;23.83
MU_U01_Can;13;BornCap;BornCap;10.94;4.24;-19.26;14.71
MU_U02_Can;13;BornCap;BornCap;10.96;14.25;-16.23;56.44
MU_U03_Can;13;BornCap;BornCap;10.65;4.26;-16.72;14.95
MU_U04_Can;13;BornCap;BornCap;10.90;4.31;-18.44;18.98
MU_U05_Can;13;BornCap;BornCap;11.84;3.93;-18.55;16.80
MU_U01_Plo;12;BornCap;BornCap;9.77;14.78;-14.13;52.06
MU_U02_Plo;12;BornCap;BornCap;8.94;7.82;-15.86;29.75
MU_U04_Plo;12;BornCap;BornCap;9.37;3.58;-16.20;14.73
MU_U05_Plo;12;BornCap;BornCap;8.29;8.16;-16.31;31.10
MU_U06_Plo;12;BornCap;BornCap;8.81;6.37;-15.60;22.42
MU_M01_GL14;1;BornW;Wild;10.71;10.02;-17.78;36.86
MU_M02_GL14;1;BornW;Wild;10.80;8.52;-15.85;27.19
MU_F04_GL14;1;BornW;Wild;11.69;10.51;-15.42;32.93
MU_F05_GL14;1;BornW;Wild;11.89;13.32;-16.43;42.73
MU_M06_GL14;1;BornW;Wild;11.52;5.53;-15.56;16.93
MU_M01_GL17b;1;BornW;Wild;11.17;7.14;-15.76;22.12
MU_F02_GL17b;1;BornW;Wild;11.72;16.17;-15.75;52.14
MU_F03_GL17;1;BornW;Wild;11.43;5.04;-15.57;15.85
MU_M04_GL17;1;BornW;Wild;11.47;10.78;-16.36;33.90
MU_M06_GL17;1;BornW;Wild;10.84;12.43;-15.99;36.69
MU_F01_GL22;1;BornW;Wild;11.76;12.56;-15.54;38.37
MU_M02_GL22;1;BornW;Wild;11.13;12.29;-16.14;39.46
MU_M06_GL22;1;BornW;Wild;12.34;35.04;-13.62;104.52
MU_F08_GL22;1;BornW;Wild;12.02;8.64;-15.80;27.22
MU_M09_GL22;1;BornW;Wild;11.54;11.95;-15.86;38.24
MU_J01_STM;7;BornW;Cap&Caged;12.00;9.39;-15.19;30.05
MU_J05_STM;7;BornW;Cap&Caged;11.94;11.53;-14.04;34.31
MU_J10_STM;7;BornW;Cap&Caged;11.86;8.84;-14.83;26.36
MU_J13_STM;7;BornW;Cap&Caged;11.45;14.60;-13.12;43.90
MU_J31_STM;7;BornW;Cap&Caged;11.33;9.54;-14.76;29.32
MU_M09_BL4;7;BornW;Cap&Caged;10.72;16.00;-14.59;49.16
MU_M10_BL4;7;BornW;Cap&Caged;11.63;18.55;-15.85;59.43
MU_F11_BL4;7;BornW;Cap&Caged;11.73;10.90;-15.28;34.54
MU_M14_BL4;7;BornW;Cap&Caged;11.69;11.00;-15.86;35.04
MU_M16_BL4;7;BornW;Cap&Caged;11.73;14.81;-15.32;45.64
MU_U01_Ma1;5;BornW;Wild;8.38;4.19;-17.22;13.46
MU_U02_Ma1;5;BornW;Wild;8.32;7.62;-16.33;22.74
MU_U03_Ma1;5;BornW;Wild;8.05;9.95;-16.67;30.06
MU_U04_Ma1;5;BornW;Wild;7.77;20.83;-16.76;62.80
MU_U05_Ma1;5;BornW;Wild;8.19;3.63;-16.03;11.57
MU_F01_Fr2;9;BornW;Cap&Caged;10.06;8.15;-16.02;26.07
MU_F02_Fr2;9;BornW;Cap&Caged;10.08;9.98;-15.60;31.47
MU_F03_Fr2;9;BornW;Cap&Caged;10.26;8.74;-15.36;27.58
MU_M04_Fr2;9;BornW;Cap&Caged;10.22;8.62;-15.29;25.99
MU_M05_Fr2;9;BornW;Cap&Caged;8.10;8.81;-15.52;27.83
MU_F08_Ma3;5;BornW;Wild;7.15;11.51;-16.19;34.95
MU_M04_Ma3;5;BornW;Wild;7.14;6.89;-15.96;21.52
MU_U01_Ma3;5;BornW;Wild;7.09;8.94;-16.37;26.88
MU_M11_Ma3;5;BornW;Wild;9.48;11.16;-15.68;34.19
MU_M12_Ma3;5;BornW;Wild;9.87;11.68;-15.25;36.09
MU_M14_Ma3;5;BornW;Wild;7.67;11.52;-15.55;34.02
