Id;SplBatch;SplMass;StdStig;Origin;Group;Squalene;Unknown1;Cholest-2-ene;Unknown2;Cholest-3,5-diene;Ergosta-5,22-dien-3-ol;Unknown 3;Stigmasta-3,5-diene;C28H42O;Cholesterol;Cholestanol;Unknown 4;14a-methylcholest-9(11)-en-3b-ol;Lathosterol;Episterol;Stigmasterol;4a,14a-dimethylcholest-9(11)-en-3b-ol;Dihydroparkeol;Avenesterol;Unknown 5
HF_F01_GL18;1;108.6;10;BornW;Wild;299609.81;179095.3;520247.96;604820.26;1032140.83;639888.29;135062.39;52648.99;25848.41;141980.71;263739.73;71349.82;230335.21;537459.35;323973.53;11090411.6;252699;197642.85;268621.62;29134.25
HF_F03_GL18;1;101.9;10;BornW;Wild;307677.44;393547.62;1119147.01;1111842.74;1996067.08;1286871.43;553268.86;1351292.75;223119.44;309270.31;98379.92;483303.76;218715.26;994907.97;359340.64;2249916.68;169016.17;104731.12;517698.04;46031.88
HF_F04_GL14;1;102;10;BornW;Wild;114123.46;529020.62;2387579.23;2203159.23;4332330.11;2635774.42;1771067.52;2512776.92;474543.08;193215.17;151559.51;430676.32;309790.47;960139.99;406565.74;2418582.44;166447.42;119778.58;481236.73;59082.32
HF_F04_GL18;1;99.3;10;BornW;Wild;167898.27;448667.9;2093573.84;2084007.51;4396214.36;2864346.46;1812374.4;2405082.75;442211.47;90546.83;77213.1;227624.29;107299.41;503163.86;225391.61;1338586.28;122662.9;51008.96;241602.56;44390.67
HF_M01_GL14;1;99.5;10;BornW;Wild;113621.59;273469.4;942118.57;1042067.19;1950738.69;1277338.42;837682.31;1115758.4;160464.39;82889.62;51282.55;73488.21;49092.01;165742.94;75857.29;427318.89;33176.32;28050.22;97777.84;21055.7
HF_M02_GL14;1;108;10;BornW;Wild;237164.95;220287.52;581615.33;703760.5;1153005.49;812841.56;299698.28;74403.39;30011.25;169376.63;303256.89;94977.81;233155.7;680421.1;381480.12;11266149.48;212428.75;220191.6;347392.25;10083.25
HF_M02_GL18;1;104.7;10;BornW;Wild;155651.62;492675.8;1834794.61;1781928.18;3345707.99;2278567.55;1414818.48;2035391.46;376270.28;225444.29;94874.26;364249.83;246722.4;709705.55;334197.76;1662465.08;99235.16;167566.61;421583.21;73236.52
HF_M03_GL14;1;102.3;10;BornW;Wild;84865.79;228406.67;782965.43;858307.37;1542375.53;1036765.33;494929.72;878412.4;132055.05;106121.18;104963.68;426554.77;124089.6;882608.37;391245.42;1904713.29;227860.64;20166.79;429882.21;41795.52
HF_M05_GL18;1;102.2;10;BornW;Wild;150788.4;269548.15;860001.24;576659.59;1733207.39;1139552.05;500476.01;830531.2;109897.76;191197.13;101465.76;440316.03;157632.67;846652.57;366908.62;2035732.89;157437.66;32916.4;449815.73;60160.22
HF_M06_GL14;1;104.1;10;BornW;Wild;114101.8;452426.46;1634380.47;1727467.66;3291500.07;2181915.64;1469615.33;1832516.42;349203.33;156356.71;234881.31;251280.58;128107.9;554911.71;257412.8;1811199.76;103224.72;68101.95;295625.59;60248.6
HF_F01_Ros;3;105.8;10;BornW;Wild;111285.59;107044.55;383109.52;429028.52;632024.86;406564.26;151986.1;440967.49;116634.14;163938.17;167334.61;137155.72;82783.37;358758.43;185179.7;1461361.4;126975.04;3761.02;131432.43;42848.18
